entrezgene,Gene symbol,description,num_trial,num_over,p-val,q_val,expression
9891,NUAK1,NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311],20,9,2.37E-06,4.24E-05,Overexpressed
8992,ATP6V0E1,ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863],20,9,2.37E-06,4.32E-05,Overexpressed
8614,STC2,stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374],20,9,2.37E-06,4.39E-05,Overexpressed
84251,SGIP1,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412],20,9,2.37E-06,4.47E-05,Overexpressed
64065,PERP,"PERP, TP53 apoptosis effector [Source:HGNC Symbol;Acc:HGNC:17637]",20,9,2.37E-06,4.56E-05,Overexpressed
57515,SERINC1,serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464],20,9,2.37E-06,4.64E-05,Overexpressed
55558,PLXNA3,plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101],20,9,2.37E-06,4.73E-05,Overexpressed
54532,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255],20,9,2.37E-06,4.82E-05,Overexpressed
4060,LUM,lumican [Source:HGNC Symbol;Acc:HGNC:6724],20,9,2.37E-06,4.92E-05,Overexpressed
333,APLP1,amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597],20,9,2.37E-06,5.02E-05,Overexpressed
2745,GLRX,glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330],20,9,2.37E-06,5.13E-05,Overexpressed
2335,FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778],20,9,2.37E-06,5.24E-05,Overexpressed
10457,GPNMB,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462],20,9,2.37E-06,5.35E-05,Overexpressed
10370,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987],20,9,2.37E-06,5.47E-05,Overexpressed
5669,PSG1,pregnancy specific beta-1-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:9514],16,8,3.28E-06,6.21E-05,Overexpressed
5673,PSG5,pregnancy specific beta-1-glycoprotein 5 [Source:HGNC Symbol;Acc:HGNC:9522],12,7,3.63E-06,6.91E-05,Overexpressed
8722,CTSF,cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531],21,9,3.90E-06,7.20E-05,Overexpressed
537,ATP6AP1,ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868],21,9,3.90E-06,7.31E-05,Overexpressed
51706,CYB5R1,cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397],21,9,3.90E-06,7.43E-05,Overexpressed
9118,INA,internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057],17,8,5.82E-06,0.000107458,Overexpressed
57575,PCDH10,protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404],17,8,5.82E-06,0.000109039,Overexpressed
5675,PSG6,pregnancy specific beta-1-glycoprotein 6 [Source:HGNC Symbol;Acc:HGNC:9523],17,8,5.82E-06,0.000110666,Overexpressed
54674,LRRN3,leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200],17,8,5.82E-06,0.000112343,Overexpressed
283209,PGM2L1,phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898],17,8,5.82E-06,0.000114071,Overexpressed
10159,ATP6AP2,ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305],17,8,5.82E-06,0.000115854,Overexpressed
7107,GPR137B,G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862],18,8,9.86E-06,0.000179162,Overexpressed
57169,ZNFX1,zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271],18,8,9.86E-06,0.000181459,Overexpressed
56911,MAP3K7CL,MAP3K7 C-terminal like [Source:HGNC Symbol;Acc:HGNC:16457],18,8,9.86E-06,0.000183815,Overexpressed
55076,TMEM45A,transmembrane protein 45A [Source:HGNC Symbol;Acc:HGNC:25480],18,8,9.86E-06,0.000186234,Overexpressed
5055,SERPINB2,serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584],18,8,9.86E-06,0.000188717,Overexpressed
3017,HIST1H2BD,histone cluster 1 H2B family member d [Source:HGNC Symbol;Acc:HGNC:4747],18,8,9.86E-06,0.000191267,Overexpressed
26999,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760],18,8,9.86E-06,0.000193888,Overexpressed
26503,SLC17A5,solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933],18,8,9.86E-06,0.00019658,Overexpressed
26353,HSPB8,heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171],18,8,9.86E-06,0.000199349,Overexpressed
1509,CTSD,cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529],18,8,9.86E-06,0.000202197,Overexpressed
98,ACYP2,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180],19,8,1.60E-05,0.000249379,Overexpressed
9445,ITM2B,integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174],19,8,1.60E-05,0.000251824,Overexpressed
91624,NEXN,nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557],19,8,1.60E-05,0.000254317,Overexpressed
84886,C1orf198,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900],19,8,1.60E-05,0.00025686,Overexpressed
79966,SCD5,stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088],19,8,1.60E-05,0.000259455,Overexpressed
79783,SUGCT,succinyl-CoA:glutarate-CoA transferase [Source:HGNC Symbol;Acc:HGNC:16001],19,8,1.60E-05,0.000262102,Overexpressed
7042,TGFB2,transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768],14,7,1.39E-05,0.000263678,Overexpressed
7077,TIMP2,TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821],19,8,1.60E-05,0.000264804,Overexpressed
5670,PSG2,pregnancy specific beta-1-glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:9519],14,7,1.39E-05,0.000266933,Overexpressed
64838,FNDC4,fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239],19,8,1.60E-05,0.000267563,Overexpressed
51560,RAB6B,"RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]",14,7,1.39E-05,0.00027027,Overexpressed
427,ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735],19,8,1.60E-05,0.000270379,Overexpressed
4189,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968],19,8,1.60E-05,0.000273255,Overexpressed
4035,LRP1,LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692],19,8,1.60E-05,0.000276194,Overexpressed
3897,L1CAM,L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470],19,8,1.60E-05,0.000279196,Overexpressed
2744,GLS,glutaminase [Source:HGNC Symbol;Acc:HGNC:4331],19,8,1.60E-05,0.000282264,Overexpressed
27075,TSPAN13,tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643],19,8,1.60E-05,0.0002854,Overexpressed
25798,BRI3,brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109],19,8,1.60E-05,0.000288607,Overexpressed
23673,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430],19,8,1.60E-05,0.000291887,Overexpressed
23586,DDX58,DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102],19,8,1.60E-05,0.000295242,Overexpressed
221955,DAGLB,diacylglycerol lipase beta [Source:HGNC Symbol;Acc:HGNC:28923],19,8,1.60E-05,0.000298675,Overexpressed
1803,DPP4,dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009],19,8,1.60E-05,0.000302188,Overexpressed
1346,COX7A1,cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287],19,8,1.60E-05,0.000305786,Overexpressed
114907,FBXO32,F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731],19,8,1.60E-05,0.00030947,Overexpressed
8507,ENC1,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345],20,8,2.51E-05,0.000365719,Overexpressed
83857,TMTC1,transmembrane and tetratricopeptide repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:24099],20,8,2.51E-05,0.000368742,Overexpressed
83604,TMEM47,transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515],20,8,2.51E-05,0.000371815,Overexpressed
800,CALD1,caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441],20,8,2.51E-05,0.000374939,Overexpressed
6772,STAT1,signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362],20,8,2.51E-05,0.000378117,Overexpressed
6609,SMPD1,sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120],20,8,2.51E-05,0.000381348,Overexpressed
64747,MFSD1,major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25874],20,8,2.51E-05,0.000384636,Overexpressed
56674,TMEM9B,TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168],20,8,2.51E-05,0.000387981,Overexpressed
55108,BSDC1,BSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25501],20,8,2.51E-05,0.000391384,Overexpressed
5332,PLCB4,phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059],20,8,2.51E-05,0.000394847,Overexpressed
493,ATP2B4,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],20,8,2.51E-05,0.000398373,Overexpressed
3482,IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467],20,8,2.51E-05,0.000401962,Overexpressed
23659,PLA2G15,phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163],20,8,2.51E-05,0.000405616,Overexpressed
23385,NCSTN,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091],20,8,2.51E-05,0.000409337,Overexpressed
8503,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981],15,7,2.46E-05,0.000409868,Overexpressed
2152,F3,"coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]",20,8,2.51E-05,0.000413127,Overexpressed
81631,MAP1LC3B,microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352],15,7,2.46E-05,0.000413772,Overexpressed
11098,PRSS23,serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370],20,8,2.51E-05,0.000416988,Overexpressed
5507,PPP1R3C,protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293],15,7,2.46E-05,0.00041775,Overexpressed
9550,ATP6V1G1,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864],21,8,3.82E-05,0.000569397,Overexpressed
8804,CREG1,cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351],21,8,3.82E-05,0.000573777,Overexpressed
59277,NTN4,netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658],21,8,3.82E-05,0.000578225,Overexpressed
5352,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]",21,8,3.82E-05,0.000582743,Overexpressed
523,ATP6V1A,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],21,8,3.82E-05,0.000587331,Overexpressed
27122,DKK3,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893],21,8,3.82E-05,0.000591993,Overexpressed
25999,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314],21,8,3.82E-05,0.000596729,Overexpressed
1845,DUSP3,dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069],21,8,3.82E-05,0.000601541,Overexpressed
1508,CTSB,cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527],21,8,3.82E-05,0.000606431,Overexpressed
283316,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375],16,7,4.12E-05,0.000614907,Overexpressed
23031,MAST3,microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036],16,7,4.12E-05,0.000619566,Overexpressed
8325,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046],12,6,5.97E-05,0.000956617,Overexpressed
100507421,TMEM178B,transmembrane protein 178B [Source:HGNC Symbol;Acc:HGNC:44112],12,6,5.97E-05,0.000963756,Overexpressed
9518,GDF15,growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142],17,7,6.59E-05,0.001026288,Overexpressed
9411,ARHGAP29,Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207],17,7,6.59E-05,0.001033567,Overexpressed
57528,KCTD16,potassium channel tetramerization domain containing 16 [Source:HGNC Symbol;Acc:HGNC:29244],17,7,6.59E-05,0.00104095,Overexpressed
56654,NPDC1,"neural proliferation, differentiation and control 1 [Source:HGNC Symbol;Acc:HGNC:7899]",17,7,6.59E-05,0.001048439,Overexpressed
5621,PRNP,prion protein [Source:HGNC Symbol;Acc:HGNC:9449],17,7,6.59E-05,0.001056036,Overexpressed
124936,CYB5D2,cytochrome b5 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28471],17,7,6.59E-05,0.001063744,Overexpressed
11096,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221],17,7,6.59E-05,0.001071566,Overexpressed
79157,MFSD11,major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:HGNC:25458],18,7,0.000101565,0.001548925,Overexpressed
7832,BTG2,BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131],18,7,0.000101565,0.001558667,Overexpressed
57658,CALCOCO1,calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306],18,7,0.000101565,0.001568532,Overexpressed
55654,TMEM127,transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038],18,7,0.000101565,0.001578523,Overexpressed
340371,NRBP2,nuclear receptor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19339],13,6,0.000104577,0.001585674,Overexpressed
5274,SERPINI1,serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943],18,7,0.000101565,0.001588641,Overexpressed
10608,MXD4,MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906],13,6,0.000104577,0.001595523,Overexpressed
50808,AK3,adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376],18,7,0.000101565,0.001598891,Overexpressed
4321,MMP12,matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158],18,7,0.000101565,0.001609273,Overexpressed
3433,IFIT2,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409],18,7,0.000101565,0.001619791,Overexpressed
2517,FUCA1,alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006],18,7,0.000101565,0.001630448,Overexpressed
23479,ISCU,iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882],18,7,0.000101565,0.001641245,Overexpressed
22837,COBLL1,cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571],18,7,0.000101565,0.001652187,Overexpressed
2195,FAT1,FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595],18,7,0.000101565,0.001663276,Overexpressed
219285,SAMD9L,sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349],18,7,0.000101565,0.001674514,Overexpressed
2043,EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388],18,7,0.000101565,0.001685905,Overexpressed
153222,CREBRF,CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050],18,7,0.000101565,0.001697453,Overexpressed
133746,JMY,"junction mediating and regulatory protein, p53 cofactor [Source:HGNC Symbol;Acc:HGNC:28916]",18,7,0.000101565,0.001709159,Overexpressed
10826,FAXDC2,fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334],18,7,0.000101565,0.001721028,Overexpressed
10133,OPTN,optineurin [Source:HGNC Symbol;Acc:HGNC:17142],18,7,0.000101565,0.001733063,Overexpressed
9636,ISG15,ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053],19,7,0.000151463,0.00206519,Overexpressed
948,CD36,CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663],19,7,0.000151463,0.00207578,Overexpressed
84898,PLXDC2,plexin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21013],19,7,0.000151463,0.00208648,Overexpressed
84572,GNPTG,N-acetylglucosamine-1-phosphate transferase gamma subunit [Source:HGNC Symbol;Acc:HGNC:23026],19,7,0.000151463,0.002097291,Overexpressed
80256,FAM214B,family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666],19,7,0.000151463,0.002108215,Overexpressed
788,SLC25A20,solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421],19,7,0.000151463,0.002119252,Overexpressed
7466,WFS1,wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762],19,7,0.000151463,0.002130406,Overexpressed
6272,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186],19,7,0.000151463,0.002141678,Overexpressed
57179,KIAA1191,KIAA1191 [Source:HGNC Symbol;Acc:HGNC:29209],19,7,0.000151463,0.00215307,Overexpressed
55214,P3H2,prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317],19,7,0.000151463,0.002164584,Overexpressed
51768,TM7SF3,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049],19,7,0.000151463,0.002176221,Overexpressed
51257,MARCH2,membrane associated ring-CH-type finger 2 [Source:HGNC Symbol;Acc:HGNC:28038],19,7,0.000151463,0.002187985,Overexpressed
51084,CRYL1,crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246],19,7,0.000151463,0.002199876,Overexpressed
4601,MXI1,"MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]",19,7,0.000151463,0.002211897,Overexpressed
4240,MFGE8,milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036],19,7,0.000151463,0.00222405,Overexpressed
3915,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],19,7,0.000151463,0.002236338,Overexpressed
3797,KIF3C,kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321],19,7,0.000151463,0.002248762,Overexpressed
3759,KCNJ2,potassium voltage-gated channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263],19,7,0.000151463,0.002261325,Overexpressed
3423,IDS,iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389],19,7,0.000151463,0.002274029,Overexpressed
3074,HEXB,hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879],19,7,0.000151463,0.002286877,Overexpressed
3029,HAGH,hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805],19,7,0.000151463,0.00229987,Overexpressed
283537,SLC46A3,solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501],19,7,0.000151463,0.002313013,Overexpressed
27345,KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289],19,7,0.000151463,0.002326306,Overexpressed
27244,SESN1,sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595],19,7,0.000151463,0.002339753,Overexpressed
256691,MAMDC2,MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673],19,7,0.000151463,0.002353356,Overexpressed
23576,DDAH1,dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715],19,7,0.000151463,0.002367118,Overexpressed
6840,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480],14,6,0.000172564,0.002375306,Overexpressed
23505,TMEM131,transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366],19,7,0.000151463,0.002381042,Overexpressed
5678,PSG9,pregnancy specific beta-1-glycoprotein 9 [Source:HGNC Symbol;Acc:HGNC:9526],14,6,0.000172564,0.002387243,Overexpressed
1774,DNASE1L1,deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957],19,7,0.000151463,0.002395131,Overexpressed
