Data_id,Study_name,Project_name,Sample_id,Sample_title,Cell_line_raw,Tissue_type,Cell_type_name,Cell_type,Cell_type_id,Stage,Treatment,Sene_type,Growth_arrest,SA-beta-gal,LMNB1,pRb/pRb,CCK-8,p16/p21/p53/p-p53,SASP,MKi67,BrdU/EdU_stain,SAHFs_stain,SASP_associated_genes
SRR12740615,GSE158743,PRJNA666405,GSM4809440,C_02_7 days post IR,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Sene,7 days post IR,IRIS,1,1,0,0,0,1,0,0,1,0,0
SRR12740616,GSE158743,PRJNA666405,GSM4809441,C_03_7 days post IR,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Sene,7 days post IR,IRIS,1,1,0,0,0,1,0,0,1,0,0
SRR12740617,GSE158743,PRJNA666405,GSM4809442,C_04_7 days post IR,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Sene,7 days post IR,IRIS,1,1,0,0,0,1,0,0,1,0,0
SRR12740618,GSE158743,PRJNA666405,GSM4809443,C_05_7 days post IR,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Sene,7 days post IR,IRIS,1,1,0,0,0,1,0,0,1,0,0
SRR12740604,GSE158743,PRJNA666405,GSM4809429,A_01_untreated,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12740605,GSE158743,PRJNA666405,GSM4809430,A_02_untreated,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12740606,GSE158743,PRJNA666405,GSM4809431,A_03_untreated,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12740607,GSE158743,PRJNA666405,GSM4809432,A_04_untreated,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12740608,GSE158743,PRJNA666405,GSM4809433,A_05_untreated,U2OS,Tumor,Osteosarcoma cells,U2OS,U2OS,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023239,E-MTAB-9970,PRJEB42249,ERS5494287,T47D_Ali14_batch1,T47D,Tumor,Estrogen-receptor positive breast cancer,T47D,T47D,Sene,alisertib,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023238,E-MTAB-9970,PRJEB42249,ERS5494286,T47D_Ali7_batch3,T47D,Tumor,Estrogen-receptor positive breast cancer,T47D,T47D,Sene,alisertib,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023240,E-MTAB-9970,PRJEB42249,ERS5494288,T47D_Eto7_batch3,T47D,Tumor,Estrogen-receptor positive breast cancer,T47D,T47D,Sene,etoposide,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023241,E-MTAB-9970,PRJEB42249,ERS5494289,T47D_P_batch1,T47D,Tumor,Estrogen-receptor positive breast cancer,T47D,T47D,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023242,E-MTAB-9970,PRJEB42249,ERS5494290,T47D_P_batch3,T47D,Tumor,Estrogen-receptor positive breast cancer,T47D,T47D,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR13977442,GSE169009,PRJNA714897,GSM5173907,"SA?Gal high, old donor #1",NA,Normal,CD8+ T cells,T cell,T cell,Sene,60's donor,NS,0,1,0,0,0,1,0,0,0,0,0
SRR13977443,GSE169009,PRJNA714897,GSM5173908,"SA?Gal high, old donor #2",NA,Normal,CD8+ T cells,T cell,T cell,Sene,60's donor,NS,0,1,0,0,0,1,0,0,0,0,0
SRR13977444,GSE169009,PRJNA714897,GSM5173909,"SA?Gal high, old donor #3",NA,Normal,CD8+ T cells,T cell,T cell,Sene,60's donor,NS,0,1,0,0,0,1,0,0,0,0,0
SRR13977433,GSE169009,PRJNA714897,GSM5173898,"SA?Gal low, young donor #1",NA,Normal,CD8+ T cells,T cell,T cell,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR13977434,GSE169009,PRJNA714897,GSM5173899,"SA?Gal low, young donor #2",NA,Normal,CD8+ T cells,T cell,T cell,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR13977435,GSE169009,PRJNA714897,GSM5173900,"SA?Gal low, young donor #3",NA,Normal,CD8+ T cells,T cell,T cell,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023234,E-MTAB-9970,PRJEB42249,ERS5494282,SUM159_Ali14_batch1,SUM159PT,Tumor,Triple-negative breast cancer,SUM159PT,SUM159PT,Sene,alisertib,CIS,1,1,1,0,0,1,0,0,0,0,0
ERR5023233,E-MTAB-9970,PRJEB42249,ERS5494281,SUM159_Ali7_batch3,SUM159PT,Tumor,Triple-negative breast cancer,SUM159PT,SUM159PT,Sene,alisertib,CIS,1,1,1,0,0,1,0,0,0,0,0
ERR5023235,E-MTAB-9970,PRJEB42249,ERS5494283,SUM159_Eto7_batch3,SUM159PT,Tumor,Triple-negative breast cancer,SUM159PT,SUM159PT,Sene,etoposide,CIS,1,1,0,0,0,1,0,0,0,0,0
ERR5023236,E-MTAB-9970,PRJEB42249,ERS5494284,SUM159_P_batch1,SUM159PT,Tumor,Triple-negative breast cancer,SUM159PT,SUM159PT,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023237,E-MTAB-9970,PRJEB42249,ERS5494285,SUM159_P_batch3,SUM159PT,Tumor,Triple-negative breast cancer,SUM159PT,SUM159PT,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971066,GSE160702,PRJNA674040,GSM4877911,Senescent_ESCs_4d_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour+day of differentiation: 4,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971067,GSE160702,PRJNA674040,GSM4877912,Senescent_ESCs_4d_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour+day of differentiation: 4,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971068,GSE160702,PRJNA674040,GSM4877913,Senescent_ESCs_4d_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour+day of differentiation: 4,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971069,GSE160702,PRJNA674040,GSM4877914,Senescent_ESCs_4d_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour + day of differentiation: 4,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971070,GSE160702,PRJNA674040,GSM4877915,Senescent_ESCs_8d_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour + day of differentiation: 8,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971071,GSE160702,PRJNA674040,GSM4877916,Senescent_ESCs_8d_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour + day of differentiation: 8,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971072,GSE160702,PRJNA674040,GSM4877917,Senescent_ESCs_8d_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour + day of differentiation: 8,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971073,GSE160702,PRJNA674040,GSM4877918,Senescent_ESCs_8d_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour + day of differentiation: 8,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971062,GSE160702,PRJNA674040,GSM4877907,Senescent_ESCs_Non_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971063,GSE160702,PRJNA674040,GSM4877908,Senescent_ESCs_Non_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971064,GSE160702,PRJNA674040,GSM4877909,Senescent_ESCs_Non_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971065,GSE160702,PRJNA674040,GSM4877910,Senescent_ESCs_Non_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Sene,200 米M of H2O2 for 1 hour,OSIS,0,0,0,0,0,1,0,0,0,0,1
SRR12971050,GSE160702,PRJNA674040,GSM4877895,Young_ESCs_Non_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971051,GSE160702,PRJNA674040,GSM4877896,Young_ESCs_Non_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971052,GSE160702,PRJNA674040,GSM4877897,Young_ESCs_Non_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971053,GSE160702,PRJNA674040,GSM4877898,Young_ESCs_Non_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971054,GSE160702,PRJNA674040,GSM4877899,Young_ESCs_4d_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971055,GSE160702,PRJNA674040,GSM4877900,Young_ESCs_4d_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971056,GSE160702,PRJNA674040,GSM4877901,Young_ESCs_4d_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971057,GSE160702,PRJNA674040,GSM4877902,Young_ESCs_4d_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971058,GSE160702,PRJNA674040,GSM4877903,Young_ESCs_8d_diff_rep1,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971059,GSE160702,PRJNA674040,GSM4877904,Young_ESCs_8d_diff_rep2,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971060,GSE160702,PRJNA674040,GSM4877905,Young_ESCs_8d_diff_rep3,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12971061,GSE160702,PRJNA674040,GSM4877906,Young_ESCs_8d_diff_rep4,NA,Normal,Endometrial stromal cells,Stromal cell,ESCs,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728132,GSE128282,PRJNA527008,GSM3670631,PSC27-B 01,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728133,GSE128282,PRJNA527008,GSM3670631,PSC27-B 01,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728134,GSE128282,PRJNA527008,GSM3670632,PSC27-B 02,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728135,GSE128282,PRJNA527008,GSM3670632,PSC27-B 02,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728136,GSE128282,PRJNA527008,GSM3670633,PSC27-B 03,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728137,GSE128282,PRJNA527008,GSM3670633,PSC27-B 03,NA,Normal,Normal human prostate derived primary stromal cells,Stromal cell,NhP-PSC,Sene,with 50 米g/ml bleomycin,CIS,0,1,0,0,0,1,1,0,0,0,0
SRR8728126,GSE128282,PRJNA527008,GSM3670628,PSC27-C 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728127,GSE128282,PRJNA527008,GSM3670628,PSC27-C 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728128,GSE128282,PRJNA527008,GSM3670629,PSC27-C 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,EV,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728129,GSE128282,PRJNA527008,GSM3670629,PSC27-C 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,EV,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728130,GSE128282,PRJNA527008,GSM3670630,PSC27-C 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,EV,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8728131,GSE128282,PRJNA527008,GSM3670630,PSC27-C 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,EV,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12429975,GSE156038,PRJNA656524,GSM4720935,BLEO 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429976,GSE156038,PRJNA656524,GSM4720936,BLEO 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429977,GSE156038,PRJNA656524,GSM4720937,BLEO 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429978,GSE156038,PRJNA656524,GSM4720938,BLEO/NAD+ 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NAD+,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429979,GSE156038,PRJNA656524,GSM4720939,BLEO/NAD+ 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NAD+,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429980,GSE156038,PRJNA656524,GSM4720940,BLEO/NAD+ 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NAD+,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429981,GSE156038,PRJNA656524,GSM4720941,BLEO/NMN 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NMN,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429982,GSE156038,PRJNA656524,GSM4720942,BLEO/NMN 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NMN,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429983,GSE156038,PRJNA656524,GSM4720943,BLEO/NMN 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/NMN,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12429972,GSE156038,PRJNA656524,GSM4720932,CTRL 01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,Gene Editing,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12429973,GSE156038,PRJNA656524,GSM4720933,CTRL 02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12429974,GSE156038,PRJNA656524,GSM4720934,CTRL 03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12447264,GSE156184,PRJNA657009,GSM4726227,BLEO/ALA_01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/alpha-lipoic acid,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447265,GSE156184,PRJNA657009,GSM4726228,BLEO/ALA_02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/alpha-lipoic acid,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447266,GSE156184,PRJNA657009,GSM4726229,BLEO/ALA_03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin/alpha-lipoic acid,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447261,GSE156184,PRJNA657009,GSM4726224,BLEO_01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447262,GSE156184,PRJNA657009,GSM4726225,BLEO_02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447263,GSE156184,PRJNA657009,GSM4726226,BLEO_03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12447258,GSE156184,PRJNA657009,GSM4726221,CTRL_01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,Gene Editing,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12447259,GSE156184,PRJNA657009,GSM4726222,CTRL_02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,Gene Editing,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12447260,GSE156184,PRJNA657009,GSM4726223,CTRL_03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12476545,GSE156472,PRJNA658072,GSM4732103,BLEOMYCIN_01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12476546,GSE156472,PRJNA658072,GSM4732104,BLEOMYCIN_02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12476547,GSE156472,PRJNA658072,GSM4732105,BLEOMYCIN_03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Sene,bleomycin,CIS,0,0,0,0,0,0,0,0,0,0,0
SRR12476542,GSE156472,PRJNA658072,GSM4732100,CONTROL_01,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12476543,GSE156472,PRJNA658072,GSM4732101,CONTROL_02,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12476544,GSE156472,PRJNA658072,GSM4732102,CONTROL_03,PSC27,Normal,Normal human prostate derived primary stromal cells,Stromal cell,PSC27,Pro,OIS,NA,0,0,0,0,0,0,0,0,0,0,0
ERR2756742,E-MTAB-5965,PRJEB22182,ERS2678509,BK12,H9,Normal,Embryonic stem cell,Stem cell,H9,Sene,NURR1::GFP; SATB1 knockout,GMIS,0,1,1,0,0,0,1,0,0,0,0
ERR2756743,E-MTAB-5965,PRJEB22182,ERS2678510,BK13,H9,Normal,Embryonic stem cell,Stem cell,H9,Sene,NURR1::GFP; SATB1 knockout,GMIS,0,1,1,0,0,0,1,0,0,0,0
ERR2756744,E-MTAB-5965,PRJEB22182,ERS2678511,BK14,H9,Normal,Embryonic stem cell,Stem cell,H9,Sene,NURR1::GFP; SATB1 knockout,GMIS,0,1,1,0,0,0,1,0,0,0,0
ERR2756739,E-MTAB-5965,PRJEB22182,ERS2678506,BK09,H9,Normal,Embryonic stem cell,Stem cell,H9,Diff,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR2756740,E-MTAB-5965,PRJEB22182,ERS2678507,BK10,H9,Normal,Embryonic stem cell,Stem cell,H9,Diff,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR2756741,E-MTAB-5965,PRJEB22182,ERS2678508,BK11,H9,Normal,Embryonic stem cell,Stem cell,H9,Diff,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8203910,GSE122654,PRJNA505881,GSM3477322,RNA_seq_NSC_WT_rep1,NA,Normal,Neural stem cells,Stem cell,NSC,Pro,DNA damage,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8203911,GSE122654,PRJNA505881,GSM3477323,RNA_seq_NSC_WT_rep2,NA,Normal,Neural stem cells,Stem cell,NSC,Pro,DNA damage,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8203912,GSE122654,PRJNA505881,GSM3477324,RNA_seq_NSC_KO_rep1,NA,Normal,Neural stem cells,Stem cell,NSC,Pro,Chemotherapy,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8203913,GSE122654,PRJNA505881,GSM3477325,RNA_seq_NSC_KO_rep2,NA,Normal,Neural stem cells,Stem cell,NSC,Pro,Chemotherapy,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12162118,GSE140768,PRJNA590880,GSM4658333,SF8628_DMSO_1,SF8628,Disease,Glioma cell from a pediatric H3.3K27m dipg patient,SF8628,SF8628,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12162119,GSE140768,PRJNA590880,GSM4658334,SF8628_DMSO_2,SF8628,Disease,Glioma cell from a pediatric H3.3K27m dipg patient,SF8628,SF8628,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR12162120,GSE140768,PRJNA590880,GSM4658335,SF8628_DMSO_3,SF8628,Disease,Glioma cell from a pediatric H3.3K27m dipg patient,SF8628,SF8628,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023229,E-MTAB-9970,PRJEB42249,ERS5494277,RKO_Ali14_batch2,RKO,Tumor,Colorectal carcinoma,RKO,RKO,Sene,alisertib,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023228,E-MTAB-9970,PRJEB42249,ERS5494276,RKO_Ali7_batch3,RKO,Tumor,Colorectal carcinoma,RKO,RKO,Sene,alisertib,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023230,E-MTAB-9970,PRJEB42249,ERS5494278,RKO_Eto7_batch3,RKO,Tumor,Colorectal carcinoma,RKO,RKO,Sene,etoposide,CIS,1,1,1,1,0,1,0,0,0,0,0
ERR5023231,E-MTAB-9970,PRJEB42249,ERS5494279,RKO_P_batch2,RKO,Tumor,Colorectal carcinoma,RKO,RKO,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
ERR5023232,E-MTAB-9970,PRJEB42249,ERS5494280,RKO_P_batch3,RKO,Tumor,Colorectal carcinoma,RKO,RKO,Pro,None,NA,0,0,0,0,0,0,0,0,0,0,0
SRR8835858,GSE129182,PRJNA530404,GSM3702047,P2T2-2-1,PZT-2,Tumor,Pancreatic ductal adenocarcinoma cell (KD of three H2A.Z isoforms),PZT-2,PZT-2,Sene,KD of three H2A.Z isoforms,GMIS,1,1,0,0,0,1,1,1,1,0,0
SRR8835859,GSE129182,PRJNA530404,GSM3702047,P2T2-2-1,PZT-2,Tumor,Pancreatic ductal adenocarcinoma cell (KD of three H2A.Z isoforms),PZT-2,PZT-2,Sene,KD of three H2A.Z isoforms,GMIS,1,1,0,0,0,1,1,1,1,0,0
SRR8835860,GSE129182,PRJNA530404,GSM3702047,P2T2-2-1,PZT-2,Tumor,Pancreatic ductal adenocarcinoma cell (KD of three H2A.Z isoforms),PZT-2,PZT-2,Sene,KD of three H2A.Z isoforms,GMIS,1,1,0,0,0,1,1,1,1,0,0
SRR8835861,GSE129182,PRJNA530404,GSM3702047,P2T2-2-1,PZT-2,Tumor,Pancreatic ductal adenocarcinoma cell (KD of three H2A.Z isoforms),PZT-2,PZT-2,Sene,KD of three H2A.Z isoforms,GMIS,1,1,0,0,0,1,1,1,1,0,0
SRR8835863,GSE129182,PRJNA530404,GSM3702048,P2T2-2-2,PZT-2,Tumor,Pancreatic ductal adenocarcinoma cell (KD of three H2A.Z isoforms),PZT-2,PZT-2,Sene,KD of three H2A.Z isoforms,GMIS,1,1,0,0,0,1,1,1,1,0,0
