	group	fc	deltaMean	pvalue	padj
74	MPG	1.3183287733767683	0.09397776688781478	0.0002646282344098712	0.00042132758811897663
75	CCNH	1.991713671209445	0.2927760353666537	3.13436641560386e-31	5.641431559251937e-30
76	HERC1	1.529669076379969	0.15637014668732307	9.983929247560553e-15	4.266346908823643e-14
77	PPP1R37	1.169552458212526	0.05005567427702595	3.4764278073230525e-11	1.0543842513211742e-10
78	ACTR2	1.5999610383014666	0.177121904505103	1.5298518397103478e-16	7.87297946758465e-16
79	HNRNPM	1.5115452143000216	0.15101957762757845	3.439387404834113e-06	6.430042234193775e-06
80	TNPO3	1.8597312571071052	0.25381187760539387	2.531950568729273e-22	2.312579278995859e-21
81	ELP5	1.230234509082371	0.06797037162099212	5.193193635275787e-09	1.2798467939459276e-08
82	C1QBP	1.794873806025163	0.23466450882040973	6.890122663161271e-08	1.5337733519018532e-07
83	DDX11	1.1570280766183585	0.04635819697585336	0.006112964927654432	0.008780507246024643
84	DDX21	2.257015182679507	0.3710989696570102	1.8933989771135717e-16	9.61975318945388e-16
85	TUBB2A	1.2249469361273673	0.06640936193501096	4.6536933608764534e-06	8.619418121189901e-06
86	EXOSC4	2.0588140083106747	0.31258555422133033	4.540486490247033e-29	6.920626860612198e-28
87	SPEN	1.0651262589318191	0.01922672686872051	0.20036776443618243	0.24252911497004784
88	RBMX2	1.6581115975472405	0.19428924895601535	2.0146653421429648e-32	3.8568753309984916e-31
89	ANKRD17	1.669608591264611	0.19768341839919956	3.629446662538529e-08	8.263811478072977e-08
90	MRPS31	1.0514910910556243	0.01520132063681634	0.7878162171486746	0.8236104008898113
91	MBNL1	1.813750934373941	0.24023745891428366	6.391922813411385e-12	2.0839061706394336e-11
92	HARS	1.3364632847347613	0.09933147985239427	2.814824989978417e-11	8.59167882782953e-11
93	PGPEP1	1.6212542806067343	0.18340814542647188	0.00023386127529642566	0.0003740842458451515
94	AATF	2.110447748098173	0.32782898795125054	1.007417628387787e-14	4.2972377624455874e-14
95	FBL	2.205882190551742	0.3560033678253403	1.7459693928128933e-06	3.3830807748998008e-06
96	NHP2	2.0196681402071186	0.30102881925127795	2.390642667081028e-21	1.952494164616007e-20
97	USP36	2.0008469472973225	0.2954723825488567	1.3355601952995667e-05	2.3482700568345797e-05
98	PLRG1	1.7174730283462156	0.21181406974609346	3.7406790546728942e-19	2.521533796572461e-18
99	NDUFA8	1.1897244138423047	0.056010886316884334	0.02296166108972883	0.03120230266196541
100	UBE2D3	1.7675065006163417	0.22658506874725698	0.00041225939156303677	0.0006469093272198997
101	TWISTNB	2.1388760045003963	0.33622164446437414	1.880433987051161e-08	4.3987082414598515e-08
102	ZNF131	1.976997099513099	0.2884313745633084	2.4004754838047724e-09	6.137113069171817e-09
103	ISY1	1.4136298630988982	0.12211277805584592	1.0292012926025187e-05	1.8434720757468767e-05
104	SNRPB	1.7775139415566752	0.22953948892692794	6.0113333655730065e-15	2.6202405726441176e-14
105	HNRNPL	1.5108627559626202	0.15081810067699486	2.7681969125513084e-09	7.0157307374619776e-09
106	PSME2	0.8938712765940757	-0.03133157057259972	0.039033934513254036	0.05160674325426348
107	RBM4	1.2139670767112907	0.06316786209282188	0.022293162188924076	0.030328332642464647
108	URB1	2.1268238829529835	0.3326635888815513	2.2091457879673654e-14	9.114630811389492e-14
109	NUP35	1.227940480029751	0.06729312298508006	0.0006715580276884464	0.0010361304708307235
110	FASN	1.210093817524119	0.062024389433637306	0.0006084847197082552	0.0009430724962835846
111	CIAO1	1.2867395247951925	0.08465191485166573	2.353103156355248e-08	5.4510898868907154e-08
112	COX7C	0.9605881164139185	-0.01163526868455167	0.20913906103155588	0.251872054880983
113	C18orf21	2.0331397228488406	0.3050059314666895	3.8791903279035705e-07	7.988728446362517e-07
114	TEFM	0.9374856225345225	-0.01845564109793496	0.027490983880522665	0.0371252395181099
115	GNPAT	1.8510078262745395	0.2512365259004617	5.153081715325572e-06	9.514910914177542e-06
116	PAK1IP1	2.022288754175333	0.30180248305174223	6.991308530414799e-07	1.4000168462998002e-06
117	PRPF6	1.5939463080138088	0.1753462217263504	3.0539235129775065e-18	1.8595518998868124e-17
118	UBAP1	1.6029207526537592	0.17799567831607133	4.172198684007483e-08	9.4546131163162e-08
119	SUMO2	1.0626283666661167	0.018489293257027473	0.8006090236911638	0.8337064376383616
120	PSMD14	1.9250799840519177	0.27310428200254927	1.3635047623879277e-19	9.54054648068512e-19
121	ACTR10	1.8951686189342802	0.2642737786568948	5.175531682964068e-13	1.879369850885131e-12
122	GNL2	2.125361930153751	0.33223198774820156	7.3860442151381925e-25	7.820709649037917e-24
123	SNAPC5	1.6773266007773842	0.19996194726460892	3.197450994752192e-13	1.1881211537953408e-12
124	TRRAP	1.5949898559037767	0.17565430038131885	2.7506051657537153e-06	5.211558322762186e-06
125	CCDC84	1.662086274959008	0.19546266254126876	1.1218672007954576e-11	3.574737964718416e-11
126	BUB3	1.7403818527800612	0.21857726661164872	6.528597421583358e-06	1.1862516043924809e-05
127	MRPL4	0.9774489430257518	-0.006657575917246306	0.6617270733975681	0.7088240316205822
128	SLC25A26	0.9786536082563583	-0.006301931823189499	0.23561956134610496	0.2800981670646941
129	GEMIN4	1.493520998760812	0.14569842645323977	4.9352494918184765e-18	2.916062230597929e-17
130	EIF4H	1.06602003976031	0.01949059094062866	0.10671716804398247	0.1341250961813288
131	TOP3A	1.4213412107421857	0.12438934018852515	4.920550499342496e-07	1.0029708130261152e-06
132	KIF11	1.7253348721728579	0.21413506171490332	2.6913385331473476e-06	5.111407230017145e-06
133	CENPA	1.125065202999897	0.036922042480245776	0.008961698655902652	0.012697066242495586
134	NPLOC4	1.6848452216368042	0.2021816121442525	5.1364540827449577e-48	2.7935305954565186e-46
135	SBNO1	1.0492772983047065	0.014547759550029349	0.2839909950959716	0.3321556457794037
136	PTK2	1.3610640775150047	0.10659418358046974	9.617735593662634e-10	2.571535338059741e-09
137	SETD1A	1.5076269391035777	0.14986281523658374	3.1979317824056333e-15	1.4357693724759252e-14
138	CNOT10	1.0840446909455452	0.02481187072740848	0.3021081092442732	0.35128508523884633
139	TSG101	1.7336446251415694	0.21658828647088418	3.7043136411639204e-17	2.0238407633117036e-16
140	HIST2H2AC	1.1658387343265681	0.04895930000354115	0.17090485261800115	0.20908758298306582
141	INCENP	2.319369044761277	0.3895072230269934	2.4064729713818574e-05	4.160903049506347e-05
142	PRMT1	1.649079787325175	0.1916228567646327	1.715382881954726e-12	5.914857689506713e-12
143	MSL1	1.1126435451681935	0.033254891529092556	0.3283503138367597	0.3782361891297869
144	CCDC6	0.8864003168731465	-0.03353716481918312	2.939845391365369e-18	1.7992455298049432e-17
145	RPLP1	1.7772966279354845	0.22947533309012697	3.8160036219069935e-08	8.663848830382766e-08
146	HSPA5	1.8271946238635257	0.24420633644791773	6.1017946816846266e-27	7.850319716812533e-26
147	PDCD7	1.7780279575140396	0.22969123792311635	3.497938492472353e-11	1.0595654193020685e-10
148	NSMCE2	1.539980363832187	0.15941426914668638	1.1948799474623656e-15	5.628637232829608e-15
149	TUBGCP3	1.9773722124681954	0.2885421162894701	2.422776680648255e-31	4.425728699840668e-30
150	SEC61B	1.6687029178055388	0.19741604335700558	2.8546407587839515e-16	1.4261284625824626e-15
151	RPAP3	1.4233315446516364	0.12497693123217196	5.425761199077345e-07	1.0975356339300158e-06
152	RPIA	1.4436113535105681	0.13096398395523323	8.337459455868954e-06	1.5035071950184178e-05
153	CHCHD3	1.286417915415272	0.08455696857642175	0.0012135057825534493	0.0018321257650791194
154	H2AFZ	0.8720948688568948	-0.03776045272569556	3.1431460629114757e-06	5.890014509433955e-06
155	CTDP1	1.6599788490240122	0.19484050331528524	7.248281664602815e-07	1.4490507956052245e-06
156	SNUPN	1.1889122933948506	0.05577113021414165	0.0017573833033246457	0.0026218318234762328
157	YAE1	1.3830564302343225	0.11308681751753591	1.6809787160423843e-05	2.9383360609857015e-05
158	MRPL45	0.9896096486250614	-0.0030674638960165312	0.7954812463874668	0.8300162879386662
159	RBMX	1.8489403095611596	0.25062614876846206	3.2070617216073516e-10	9.018212338197876e-10
160	GART	1.4776882626799155	0.1410242489831256	2.3880327736799815e-07	5.008380742696053e-07
161	ARL2	1.1913576855211616	0.05649306461158227	0.0002595723519448729	0.0004135530214407995
162	URM1	1.3483911611073536	0.1028528554833788	2.4543744510538477e-08	5.669225927965113e-08
163	SUGP1	1.724755858065563	0.21396412381248603	3.4578027605434944e-10	9.689135838384755e-10
164	MEPCE	0.9386051165728786	-0.018125141442962178	0.30570474275787307	0.3551220628250438
165	GLB1	1.3307247173471266	0.09763732653252821	0.005639562663287098	0.008120020128306874
166	RSRC2	1.0945549776035552	0.027914742198915432	0.2982521818893583	0.3478155318037205
167	SNRPA1	1.7231490291600435	0.21348975201533532	2.790434634546886e-09	7.0512250057768726e-09
168	NISCH	1.0257919370439497	0.007614356130580258	0.5415673676701778	0.595251697827722
169	WDR83OS	1.0486383999362126	0.014359142475605324	0.09976275087471372	0.12571472503590833
170	CDK1	2.12253589556436	0.331397679190287	1.425649116186768e-39	4.873683335764194e-38
171	RAB18	1.2829671382447652	0.0835382220488251	3.1476578659713924e-05	5.3802466237639585e-05
172	DNM2	1.6382047149323007	0.18841229239313612	3.0245716437947427e-14	1.2143959636914127e-13
173	DUT	1.6675497829951595	0.1970756121944358	1.9814400343009736e-12	6.793103154845602e-12
174	SHOC2	1.2499550574080465	0.07379231813808151	0.0002888358134996367	0.0004580411542111535
175	TIMM8A	0.8877078360476833	-0.03315115594262913	0.0046187338409973255	0.006698563685761575
176	DNAJA3	1.0077952020403227	0.0023013178243921906	0.20589374107486158	0.24858916366909373
177	ELP6	1.3319619797769255	0.09800259404816392	1.0187616424923363e-10	2.976674738075898e-10
178	LRPPRC	0.8759115754042682	-0.03663367566943582	0.04640207289734709	0.06097757300568456
179	KCMF1	1.273369358278117	0.08070474294237112	3.898138163156812e-05	6.620471699385558e-05
180	AASDHPPT	1.2355994809938458	0.06955423120838639	0.0010606088705938039	0.0016104295858699067
181	GINS2	1.8994407822314852	0.2655350167227865	4.5139849922299615e-25	4.865750489372206e-24
182	MTHFD1	0.975122122747724	-0.007344505255611589	0.5333442887920179	0.587341409608513
183	ANAPC11	1.5455545264714459	0.1610598865112437	1.5491258717821797e-12	5.403874943403435e-12
184	GBF1	1.7415289433852856	0.21891591338980027	6.8037604943703945e-34	1.4667926903629147e-32
185	PSMB6	2.0474004550669576	0.3092160182704277	5.755486637181611e-28	8.15327619480021e-27
186	ABHD17A	0.9175279888467519	-0.024347580511535516	0.020559870927880353	0.028050040553259797
187	RABGGTB	1.812788164975096	0.23995322787487244	4.349313159698642e-40	1.6012163678705924e-38
188	POP7	1.877177389890643	0.2589623658331251	6.06198052135174e-20	4.382573833110186e-19
189	UXS1	1.1099880970150857	0.032470943898885496	0.0028477127307473364	0.004203933722812077
190	SUPT4H1	1.7619473388848566	0.22494387998586646	3.184323601963364e-08	7.271074789597643e-08
191	SLC39A7	1.8224290033210058	0.24279941877701455	5.179716313900071e-11	1.5571684848194561e-10
192	NAGLU	0.9605256942519654	-0.011653697101569827	0.108633621959696	0.1363904812956729
193	COPS8	1.851626885784006	0.2514192861004058	2.61776977871525e-29	4.094328810761827e-28
194	ALG1	1.1526009182726253	0.045051200908305555	0.0011190477098318781	0.001697009613198786
195	RPS26	1.9226734428325762	0.2723938172609612	1.5155984652141719e-15	7.0975090552984606e-15
196	PTBP1	1.7384925709016816	0.21801950838555967	2.2494375967141996e-11	6.927804593226615e-11
197	SDE2	1.179101118514729	0.05287465216096754	0.003968413099018766	0.005794028398994452
198	AAMP	2.1899342652563685	0.35129518392523457	3.3567555515254643e-09	8.428873069045578e-09
199	TIMM10	1.578975587014745	0.1709265303699321	2.825929861861839e-25	3.1453256555513396e-24
200	MED22	1.995285948278411	0.29383065137916425	7.305921132966462e-16	3.5248123530622466e-15
201	PELO	1.093751437017473	0.02767751906296484	0.040642629969288864	0.05367429002014804
202	FUNDC2	1.470574340359852	0.1389240601552006	1.6502022467021248e-10	4.763490924436893e-10
203	RBM8A	2.008574034341688	0.29775359130442763	3.7594744674212654e-08	8.551732319904077e-08
204	PEF1	1.1073932835435338	0.03170489698154244	0.1675726305890628	0.2053258090115859
205	CCT4	2.0169182514769983	0.3002169906524828	1.8090160710712938e-25	2.051647136527775e-24
206	PPA2	0.9361803134679789	-0.01884099750122492	0.2316640256900402	0.27635693593034205
207	PRRC2A	0.9979074901340568	-0.0006177556691028818	0.8848098644161142	0.9036918504258478
208	ANKRD11	1.2337004198806008	0.06899358593365024	8.706431073608159e-08	1.9184612853724054e-07
209	ZC3H8	1.5320828028406486	0.15708273267270684	0.014191368892918147	0.019721222857580212
210	CEP192	1.8692510464182557	0.2566223321276608	4.023397468098771e-19	2.696916005927271e-18
211	ARFRP1	0.8845170800999834	-0.03409313839513567	0.07738948036395876	0.09887508089212671
212	NDUFAF3	1.0295560139400852	0.008725595737796521	0.5867429004787739	0.6385064851503892
213	CPSF6	1.8360998976048293	0.24683537224274948	3.2859696822346336e-09	8.268481019545192e-09
214	RRN3	1.7251878272587418	0.21409165077056974	3.3718445770726346e-14	1.3493016844372599e-13
215	PSMA5	1.480734983150462	0.1419237089443351	0.3284474722155024	0.3782361891297869
216	PLK1	1.7727837140760396	0.22814302007874326	1.4434970897328816e-09	3.771057353417888e-09
217	PHF12	1.4958993011421005	0.14640055445884398	3.173219658571976e-11	9.673267061099029e-11
218	NDUFAF5	1.7512734860220027	0.22179272011583845	1.851446960398649e-05	3.2315919593245564e-05
219	POLR3H	1.4391167047006348	0.12963706319459384	1.1360379045310407e-09	3.010563350545715e-09
220	TCERG1	1.3186562366972259	0.0940744413771103	4.119083551632988e-07	8.452611081363331e-07
221	INO80B	1.4277805977324534	0.1262903911147496	3.0158713649483016e-14	1.21293784475988e-13
222	DPH2	1.3102384985872355	0.09158933699451954	2.784829392157579e-08	6.389354492265663e-08
223	TPI1	1.0852747714272875	0.025175017971498792	0.42034190960385553	0.47416996973353726
224	UBL5	1.5851550740277893	0.17275085301547194	6.848352572506082e-33	1.3656756421672545e-31
225	RPS20	2.0747635306878545	0.3172942096156716	1.562628852432288e-16	8.007218081093072e-16
226	RINT1	1.5417687460320322	0.15994223953309078	2.6582660475394058e-14	1.0800052040342612e-13
227	TOR2A	1.0444293021295115	0.013116522751694948	0.8841093194835923	0.9036918504258478
228	SH3KBP1	1.6938306563135264	0.20483431323839846	2.749326034883368e-05	4.7263916677269395e-05
229	TOPBP1	1.90791867601441	0.2680378804041929	1.1197932818912118e-05	1.9967699877538523e-05
230	KTI12	1.2144743484503056	0.06331762004505542	1.6379369069469985e-07	3.4965058147405597e-07
231	ANAPC4	1.8767570469072115	0.25883827119194386	6.684050027778907e-07	1.3452423647161416e-06
232	SMG1	1.096762765189945	0.02856653042694962	0.21205544461110382	0.2549993361579756
233	PPRC1	1.2132284161564502	0.06294979299182402	0.0007727717541698694	0.0011856574536400122
234	GFER	1.4728843211739076	0.1396060181075271	6.038270436990456e-11	1.8016934109374266e-10
235	C19orf53	2.221073437059862	0.36048816323962635	1.6018763897370638e-06	3.1139644196919526e-06
236	PSMG1	1.7367008964270643	0.21749056604607736	5.269211886578559e-09	1.2959120292479437e-08
237	SETD5	1.1902875153001284	0.056177126449613146	0.005293155949858076	0.007639639437883218
238	CCND1	1.819017236193061	0.24179218888565307	0.03101490455457948	0.04160239159142864
239	MRPS30	1.002323390111708	0.0006859166766213232	0.7688852004948992	0.8084104941934507
240	TTC4	1.0483271753804688	0.014267262032504946	0.1614630285127574	0.19834754991325895
241	NR2C2AP	1.5592810508020052	0.1651122632098163	1.8670224676764186e-06	3.605960262429112e-06
242	PAF1	1.8142883507345566	0.2403961162323887	3.1083444968501903e-22	2.8001559450246153e-21
243	RPAIN	1.846846469025262	0.25000800025585507	6.279802795357169e-11	1.8691005086181223e-10
244	EIF2B3	1.636181899732655	0.18781511214683638	3.493582991876292e-34	7.740874166259228e-33
245	ANAPC13	1.217077288382434	0.06408606607514461	3.1043011512172683e-06	5.826347180284646e-06
246	GOSR2	1.8820756706922797	0.2604084477767841	3.0686875711265e-10	8.649433872444892e-10
247	METTL14	1.0349037249162658	0.01030435951140013	0.17585240016850812	0.21470142530777547
248	VPS33A	1.1225082407017584	0.036167170075070476	0.02715741787277734	0.03669548332555402
249	KCTD10	0.8307769026410269	-0.04995843959356072	5.756348876865602e-06	1.0579833227603215e-05
250	MRPS9	1.0794795883564794	0.02346415043689487	0.2009830607234555	0.2431508919672543
251	ADNP2	1.4192275654529376	0.12376534487019625	3.6069250635092924e-05	6.152082449734667e-05
252	NAA38	1.6938322518917424	0.20483478428874063	1.1037578082424754e-09	2.9315121366528785e-09
253	PSMD2	2.3047411136431375	0.38518873090298916	9.738257926987105e-13	3.467805240964307e-12
254	NUP43	1.4857868010053734	0.14341511845687283	6.80337936457508e-13	2.4481935066809273e-12
255	HMGB1	1.9798412043864326	0.28927101787281945	1.4695477892195424e-10	4.257418716225623e-10
256	KAT8	1.6007029565277848	0.17734093534351308	1.6049482639548238e-10	4.6384555502945575e-10
257	GRSF1	1.1255621075289457	0.03706873980044417	0.004187144822007005	0.006094791702592922
258	TAF8	1.4809001517726172	0.1419724704122522	3.398654428059262e-16	1.6908482424835372e-15
259	RPL3	2.0607366178869455	0.3131531515285369	7.653158885836398e-12	2.4681953118337604e-11
260	UQCRC2	1.1124282780668167	0.033191339870669745	0.049494216236517376	0.06486290222014572
261	MDN1	1.7506966574082072	0.22162242741993649	3.92152050945598e-09	9.744754495460188e-09
262	CDC20	1.43117013077978	0.12729105700869692	0.03629640769541254	0.04812038981447214
263	SRSF1	1.9634723717606406	0.2844385727236917	4.174022541920998e-13	1.5366824527410688e-12
264	GNL3L	2.1740962788391744	0.3466194564385277	7.128918418042482e-11	2.1165634955801067e-10
265	COX5B	1.2259964787645283	0.06671921037330214	0.009537581954534339	0.013457213217689076
266	IST1	1.0451979996514067	0.013343459436536809	0.23713628190088076	0.28176123266574366
267	CYC1	0.92419752235415	-0.02237858519088043	0.029141996145601853	0.039199998187984954
268	ACTL6A	1.7197110886325675	0.21247479515159334	0.002978588386460275	0.004383617471586371
269	ATF5	2.0269090549616093	0.3031664990834641	6.549848266876198e-33	1.3171249498012388e-31
270	PRIM1	2.333028393890694	0.3935397681051736	1.4040889066639934e-24	1.4801694949986503e-23
271	USP8	1.6390421088251175	0.18865950978167945	1.2730247075155575e-12	4.479923713359896e-12
272	WDR44	1.0608306997612666	0.01795858181824095	0.31074467696400354	0.36045177507264203
273	SRRM1	1.3359145840270712	0.09916949114288653	6.226253336357809e-08	1.3911693962562312e-07
274	PRIM2	1.8753795138206122	0.2584315926441035	2.019659132187303e-12	6.90434900474888e-12
275	UBC	1.5331945465408983	0.157410944254691	0.00023562405916407344	0.00037640078343099313
276	CTR9	1.446213283357846	0.13173213178570448	1.627634789087425e-08	3.82606095312987e-08
277	ISCU	1.7654863003942887	0.22598866050077365	4.0212621630173447e-07	8.259983138283696e-07
278	CS	1.2082619102748176	0.06148356948007566	0.00278648119103135	0.004116079932183963
279	RPL31	2.0463095089396504	0.3088939465966935	2.103059850292457e-17	1.16495884762728e-16
280	ACTR1A	0.9050563920386802	-0.02802947456438809	0.03858746524452369	0.05104466795475134
281	CPSF1	1.7762638394473043	0.2291704308509827	6.292340901675962e-18	3.681557891860777e-17
282	RPL18A	2.0279683993760207	0.3034792412254182	1.3212457450345284e-16	6.858440494289863e-16
283	SLC35G2	1.0798137397315737	0.023562799389362232	0.14172022357486683	0.17481262629621458
284	THG1L	1.099231403914339	0.02929532773958443	0.01577701510388753	0.021835972899712466
285	C19orf25	1.3851439270284795	0.11370309321583155	8.881390315275171e-07	1.7608257683888553e-06
286	NFS1	1.7427096035455756	0.21926447065071158	1.1489899176406446e-14	4.857831930943573e-14
287	MSTO1	1.3274508050361173	0.09667079446346194	4.375050841315284e-05	7.393712332816014e-05
288	ACTR8	1.30685489349594	0.09059042116565152	6.070816149311978e-07	1.224912567057636e-06
289	IARS	1.5371438934575399	0.15857687971177886	2.1937428461167013e-09	5.632646599524964e-09
290	OSTC	1.616475397454336	0.18199731233678246	1.4065671411563787e-06	2.7454446727465044e-06
291	SPC25	1.832659587977201	0.24581971596770552	1.0779794914335707e-162	2.5796049230005346e-159
292	CEBPZ	1.991599545986144	0.292742343050632	4.34728427964468e-19	2.897785872197694e-18
293	UQCRC1	1.1563725910998124	0.04616468300409765	0.009113137978222422	0.012888734741067527
294	HSPA9	1.8343410500986774	0.24631612115786966	1.723963303567093e-38	5.466518578226952e-37
295	MRPL54	1.032220911058642	0.009512332913739208	0.2078514123346783	0.2506998133653655
296	VPS13D	1.3903437050376437	0.11523818387204199	4.003389926264718e-12	1.330571124104371e-11
