"","method","unit","AUC","method_type","dataset"
"Teo2019.63","SASP","Fold03.Rep1",0.718557098765432,"Gene set","Teo2019"
"Teo2019.64","AgingAtlas","Fold03.Rep1",0.751907578875171,"Gene set","Teo2019"
"Teo2019.65","SenUp","Fold03.Rep1",0.760009430727023,"Gene set","Teo2019"
"Teo2019.66","SigRS","Fold03.Rep1",0.794538751714678,"Gene set","Teo2019"
"Teo2019.67","GLB1","Fold03.Rep1",0.543220593278464,"Marker","Teo2019"
"Teo2019.68","TP53","Fold03.Rep1",0.523855452674897,"Marker","Teo2019"
"Teo2019.69","CDKN1A","Fold03.Rep1",0.716574502743484,"Marker","Teo2019"
"Teo2019.70","CDKN2A","Fold03.Rep1",0.7086655521262,"Marker","Teo2019"
"Teo2019.71","LMNB1","Fold03.Rep1",0.375878772290809,"Marker","Teo2019"
"Teo2019.72","IL1A","Fold03.Rep1",0.566979595336077,"Marker","Teo2019"
"Teo2019.73","RB1","Fold03.Rep1",0.477516289437586,"Marker","Teo2019"
"Teo2019.74","CDK1","Fold03.Rep1",0.366833847736625,"Marker","Teo2019"
"Teo2019.75","CDK4","Fold03.Rep1",0.56730109739369,"Marker","Teo2019"
"Teo2019.76","CDK6","Fold03.Rep1",0.648191015089163,"Marker","Teo2019"
"Teo2019.77","MKI67","Fold03.Rep1",0.693683556241427,"Marker","Teo2019"
"Teo2019.78","CDKN2B","Fold03.Rep1",0.773566100823045,"Marker","Teo2019"
"Teo2019.79","hUSI","Fold04.Rep1",0.8235811042524,"hUSI","Teo2019"
"Teo2019.80","DAS","Fold04.Rep1",0.766525205761317,"Senecence Score","Teo2019"
"Teo2019.81","mSS","Fold04.Rep1",0.684295696159122,"Senecence Score","Teo2019"
"Teo2019.82","DAS+mSS","Fold04.Rep1",0.784668638545953,"Senecence Score","Teo2019"
"Teo2019.83","lassoCS","Fold04.Rep1",0.504415294924554,"Senecence Score","Teo2019"
"Teo2019.84","CSS","Fold04.Rep1",0.526770404663923,"Senecence Score","Teo2019"
"Teo2019.85","SenMayo","Fold04.Rep1",0.874228395061728,"Gene set","Teo2019"
"Teo2019.86","CellAge","Fold04.Rep1",0.567151063100137,"Gene set","Teo2019"
"Teo2019.87","GenAge","Fold04.Rep1",0.641225137174211,"Gene set","Teo2019"
"Teo2019.88","ASIG","Fold04.Rep1",0.726337448559671,"Gene set","Teo2019"
"Teo2019.89","SASP","Fold04.Rep1",0.712662894375857,"Gene set","Teo2019"
"Teo2019.90","AgingAtlas","Fold04.Rep1",0.759987997256516,"Gene set","Teo2019"
"Teo2019.91","SenUp","Fold04.Rep1",0.752914951989026,"Gene set","Teo2019"
"Teo2019.92","SigRS","Fold04.Rep1",0.797989540466392,"Gene set","Teo2019"
"Teo2019.93","GLB1","Fold04.Rep1",0.547560871056241,"Marker","Teo2019"
"Teo2019.94","TP53","Fold04.Rep1",0.515967935528121,"Marker","Teo2019"
"Teo2019.95","CDKN1A","Fold04.Rep1",0.701260288065844,"Marker","Teo2019"
"Teo2019.96","CDKN2A","Fold04.Rep1",0.722072187928669,"Marker","Teo2019"
"Teo2019.97","LMNB1","Fold04.Rep1",0.370884773662551,"Marker","Teo2019"
"Teo2019.98","IL1A","Fold04.Rep1",0.55778463648834,"Marker","Teo2019"
"Teo2019.99","RB1","Fold04.Rep1",0.477559156378601,"Marker","Teo2019"
"Teo2019.100","CDK1","Fold04.Rep1",0.367026748971193,"Marker","Teo2019"
"Teo2019.101","CDK4","Fold04.Rep1",0.564311128257888,"Marker","Teo2019"
"Teo2019.102","CDK6","Fold04.Rep1",0.641911008230453,"Marker","Teo2019"
"Teo2019.103","MKI67","Fold04.Rep1",0.696277006172839,"Marker","Teo2019"
"Teo2019.104","CDKN2B","Fold04.Rep1",0.771390603566529,"Marker","Teo2019"
"Teo2019.105","hUSI","Fold05.Rep1",0.816572359396433,"hUSI","Teo2019"
"Teo2019.106","DAS","Fold05.Rep1",0.759462877229081,"Senecence Score","Teo2019"
"Teo2019.107","mSS","Fold05.Rep1",0.695269633058985,"Senecence Score","Teo2019"
"Teo2019.108","DAS+mSS","Fold05.Rep1",0.787165637860082,"Senecence Score","Teo2019"
"Teo2019.109","lassoCS","Fold05.Rep1",0.490730024005487,"Senecence Score","Teo2019"
"Teo2019.110","CSS","Fold05.Rep1",0.522355109739369,"Senecence Score","Teo2019"
"Teo2019.111","SenMayo","Fold05.Rep1",0.858088991769547,"Gene set","Teo2019"
"Teo2019.112","CellAge","Fold05.Rep1",0.581189986282579,"Gene set","Teo2019"
"Teo2019.113","GenAge","Fold05.Rep1",0.63809585048011,"Gene set","Teo2019"
"Teo2019.114","ASIG","Fold05.Rep1",0.725865912208505,"Gene set","Teo2019"
"Teo2019.115","SASP","Fold05.Rep1",0.71997170781893,"Gene set","Teo2019"
"Teo2019.116","AgingAtlas","Fold05.Rep1",0.757887517146776,"Gene set","Teo2019"
"Teo2019.117","SenUp","Fold05.Rep1",0.749142661179698,"Gene set","Teo2019"
"Teo2019.118","SigRS","Fold05.Rep1",0.793252743484225,"Gene set","Teo2019"
"Teo2019.119","GLB1","Fold05.Rep1",0.53937328532236,"Marker","Teo2019"
"Teo2019.120","TP53","Fold05.Rep1",0.518657836076817,"Marker","Teo2019"
"Teo2019.121","CDKN1A","Fold05.Rep1",0.700542266803841,"Marker","Teo2019"
"Teo2019.122","CDKN2A","Fold05.Rep1",0.703564386145405,"Marker","Teo2019"
"Teo2019.123","LMNB1","Fold05.Rep1",0.375718021262003,"Marker","Teo2019"
"Teo2019.124","IL1A","Fold05.Rep1",0.562457133058985,"Marker","Teo2019"
"Teo2019.125","RB1","Fold05.Rep1",0.489079646776406,"Marker","Teo2019"
"Teo2019.126","CDK1","Fold05.Rep1",0.369470164609054,"Marker","Teo2019"
"Teo2019.127","CDK4","Fold05.Rep1",0.557977537722908,"Marker","Teo2019"
"Teo2019.128","CDK6","Fold05.Rep1",0.630144032921811,"Marker","Teo2019"
"Teo2019.129","MKI67","Fold05.Rep1",0.687135631001372,"Marker","Teo2019"
"Teo2019.130","CDKN2B","Fold05.Rep1",0.777274091220851,"Marker","Teo2019"
"Teo2019.131","hUSI","Fold06.Rep1",0.835498113854595,"hUSI","Teo2019"
"Teo2019.132","DAS","Fold06.Rep1",0.77767061042524,"Senecence Score","Teo2019"
"Teo2019.133","mSS","Fold06.Rep1",0.691690243484225,"Senecence Score","Teo2019"
"Teo2019.134","DAS+mSS","Fold06.Rep1",0.793724279835391,"Senecence Score","Teo2019"
"Teo2019.135","lassoCS","Fold06.Rep1",0.505358367626886,"Senecence Score","Teo2019"
"Teo2019.136","CSS","Fold06.Rep1",0.527134773662551,"Senecence Score","Teo2019"
"Teo2019.137","SenMayo","Fold06.Rep1",0.8627829218107,"Gene set","Teo2019"
"Teo2019.138","CellAge","Fold06.Rep1",0.575188614540466,"Gene set","Teo2019"
"Teo2019.139","GenAge","Fold06.Rep1",0.641418038408779,"Gene set","Teo2019"
"Teo2019.140","ASIG","Fold06.Rep1",0.731524348422497,"Gene set","Teo2019"
"Teo2019.141","SASP","Fold06.Rep1",0.713970336076818,"Gene set","Teo2019"
"Teo2019.142","AgingAtlas","Fold06.Rep1",0.757587448559671,"Gene set","Teo2019"
"Teo2019.143","SenUp","Fold06.Rep1",0.766503772290809,"Gene set","Teo2019"
"Teo2019.144","SigRS","Fold06.Rep1",0.795117455418381,"Gene set","Teo2019"
"Teo2019.145","GLB1","Fold06.Rep1",0.541527349108368,"Marker","Teo2019"
"Teo2019.146","TP53","Fold06.Rep1",0.5234375,"Marker","Teo2019"
"Teo2019.147","CDKN1A","Fold06.Rep1",0.70596493484225,"Marker","Teo2019"
"Teo2019.148","CDKN2A","Fold06.Rep1",0.717903377914952,"Marker","Teo2019"
"Teo2019.149","LMNB1","Fold06.Rep1",0.379158093278464,"Marker","Teo2019"
"Teo2019.150","IL1A","Fold06.Rep1",0.562607167352538,"Marker","Teo2019"
"Teo2019.151","RB1","Fold06.Rep1",0.471343449931413,"Marker","Teo2019"
"Teo2019.152","CDK1","Fold06.Rep1",0.367305384087792,"Marker","Teo2019"
"Teo2019.153","CDK4","Fold06.Rep1",0.552115483539095,"Marker","Teo2019"
"Teo2019.154","CDK6","Fold06.Rep1",0.620123885459534,"Marker","Teo2019"
"Teo2019.155","MKI67","Fold06.Rep1",0.699224108367627,"Marker","Teo2019"
"Teo2019.156","CDKN2B","Fold06.Rep1",0.782857510288066,"Marker","Teo2019"
"Teo2019.157","hUSI","Fold07.Rep1",0.825467249657064,"hUSI","Teo2019"
"Teo2019.158","DAS","Fold07.Rep1",0.758841306584362,"Senecence Score","Teo2019"
"Teo2019.159","mSS","Fold07.Rep1",0.690361368312757,"Senecence Score","Teo2019"
"Teo2019.160","DAS+mSS","Fold07.Rep1",0.781271433470508,"Senecence Score","Teo2019"
"Teo2019.161","lassoCS","Fold07.Rep1",0.469564471879287,"Senecence Score","Teo2019"
"Teo2019.162","CSS","Fold07.Rep1",0.523276748971193,"Senecence Score","Teo2019"
"Teo2019.163","SenMayo","Fold07.Rep1",0.859696502057613,"Gene set","Teo2019"
"Teo2019.164","CellAge","Fold07.Rep1",0.568458504801097,"Gene set","Teo2019"
"Teo2019.165","GenAge","Fold07.Rep1",0.630572702331962,"Gene set","Teo2019"
"Teo2019.166","ASIG","Fold07.Rep1",0.716177983539095,"Gene set","Teo2019"
"Teo2019.167","SASP","Fold07.Rep1",0.712855795610425,"Gene set","Teo2019"
"Teo2019.168","AgingAtlas","Fold07.Rep1",0.750835905349794,"Gene set","Teo2019"
"Teo2019.169","SenUp","Fold07.Rep1",0.751071673525377,"Gene set","Teo2019"
"Teo2019.170","SigRS","Fold07.Rep1",0.788708847736626,"Gene set","Teo2019"
"Teo2019.171","GLB1","Fold07.Rep1",0.53653335048011,"Marker","Teo2019"
"Teo2019.172","TP53","Fold07.Rep1",0.503236454046639,"Marker","Teo2019"
"Teo2019.173","CDKN1A","Fold07.Rep1",0.703714420438957,"Marker","Teo2019"
"Teo2019.174","CDKN2A","Fold07.Rep1",0.707079475308642,"Marker","Teo2019"
"Teo2019.175","LMNB1","Fold07.Rep1",0.3704561042524,"Marker","Teo2019"
"Teo2019.176","IL1A","Fold07.Rep1",0.5647719478738,"Marker","Teo2019"
"Teo2019.177","RB1","Fold07.Rep1",0.463798868312757,"Marker","Teo2019"
"Teo2019.178","CDK1","Fold07.Rep1",0.363918895747599,"Marker","Teo2019"
"Teo2019.179","CDK4","Fold07.Rep1",0.580997085048011,"Marker","Teo2019"
"Teo2019.180","CDK6","Fold07.Rep1",0.620691872427984,"Marker","Teo2019"
"Teo2019.181","MKI67","Fold07.Rep1",0.695751886145405,"Marker","Teo2019"
"Teo2019.182","CDKN2B","Fold07.Rep1",0.780885631001372,"Marker","Teo2019"
"Teo2019.183","hUSI","Fold08.Rep1",0.832561728395062,"hUSI","Teo2019"
"Teo2019.184","DAS","Fold08.Rep1",0.770136745541838,"Senecence Score","Teo2019"
"Teo2019.185","mSS","Fold08.Rep1",0.689321844993141,"Senecence Score","Teo2019"
"Teo2019.186","DAS+mSS","Fold08.Rep1",0.788740997942387,"Senecence Score","Teo2019"
"Teo2019.187","lassoCS","Fold08.Rep1",0.490333504801097,"Senecence Score","Teo2019"
"Teo2019.188","CSS","Fold08.Rep1",0.512967249657065,"Senecence Score","Teo2019"
"Teo2019.189","SenMayo","Fold08.Rep1",0.864604766803841,"Gene set","Teo2019"
"Teo2019.190","CellAge","Fold08.Rep1",0.567836934156379,"Gene set","Teo2019"
"Teo2019.191","GenAge","Fold08.Rep1",0.63826731824417,"Gene set","Teo2019"
"Teo2019.192","ASIG","Fold08.Rep1",0.728373628257888,"Gene set","Teo2019"
"Teo2019.193","SASP","Fold08.Rep1",0.720336076817558,"Gene set","Teo2019"
"Teo2019.194","AgingAtlas","Fold08.Rep1",0.755422668038409,"Gene set","Teo2019"
"Teo2019.195","SenUp","Fold08.Rep1",0.756087105624143,"Gene set","Teo2019"
"Teo2019.196","SigRS","Fold08.Rep1",0.799875685871056,"Gene set","Teo2019"
"Teo2019.197","GLB1","Fold08.Rep1",0.542877657750343,"Marker","Teo2019"
"Teo2019.198","TP53","Fold08.Rep1",0.522687328532236,"Marker","Teo2019"
"Teo2019.199","CDKN1A","Fold08.Rep1",0.712030606995885,"Marker","Teo2019"
"Teo2019.200","CDKN2A","Fold08.Rep1",0.704668209876543,"Marker","Teo2019"
"Teo2019.201","LMNB1","Fold08.Rep1",0.372513717421125,"Marker","Teo2019"
"Teo2019.202","IL1A","Fold08.Rep1",0.562435699588477,"Marker","Teo2019"
"Teo2019.203","RB1","Fold08.Rep1",0.460883916323731,"Marker","Teo2019"
"Teo2019.204","CDK1","Fold08.Rep1",0.360671724965706,"Marker","Teo2019"
"Teo2019.205","CDK4","Fold08.Rep1",0.562457133058985,"Marker","Teo2019"
"Teo2019.206","CDK6","Fold08.Rep1",0.642607596021948,"Marker","Teo2019"
"Teo2019.207","MKI67","Fold08.Rep1",0.693844307270233,"Marker","Teo2019"
"Teo2019.208","CDKN2B","Fold08.Rep1",0.766096536351166,"Marker","Teo2019"
"Teo2019.209","hUSI","Fold09.Rep1",0.825338648834019,"hUSI","Teo2019"
"Teo2019.210","DAS","Fold09.Rep1",0.76244212962963,"Senecence Score","Teo2019"
"Teo2019.211","mSS","Fold09.Rep1",0.684049211248285,"Senecence Score","Teo2019"
"Teo2019.212","DAS+mSS","Fold09.Rep1",0.780746313443073,"Senecence Score","Teo2019"
"Teo2019.213","lassoCS","Fold09.Rep1",0.502593449931413,"Senecence Score","Teo2019"
"Teo2019.214","CSS","Fold09.Rep1",0.526920438957476,"Senecence Score","Teo2019"
"Teo2019.215","SenMayo","Fold09.Rep1",0.861153978052126,"Gene set","Teo2019"
"Teo2019.216","CellAge","Fold09.Rep1",0.568458504801097,"Gene set","Teo2019"
"Teo2019.217","GenAge","Fold09.Rep1",0.634323559670782,"Gene set","Teo2019"
"Teo2019.218","ASIG","Fold09.Rep1",0.719714506172839,"Gene set","Teo2019"
"Teo2019.219","SASP","Fold09.Rep1",0.715213477366255,"Gene set","Teo2019"
"Teo2019.220","AgingAtlas","Fold09.Rep1",0.753064986282579,"Gene set","Teo2019"
"Teo2019.221","SenUp","Fold09.Rep1",0.752464849108368,"Gene set","Teo2019"
"Teo2019.222","SigRS","Fold09.Rep1",0.78710133744856,"Gene set","Teo2019"
"Teo2019.223","GLB1","Fold09.Rep1",0.531453617969822,"Marker","Teo2019"
"Teo2019.224","TP53","Fold09.Rep1",0.545138888888889,"Marker","Teo2019"
"Teo2019.225","CDKN1A","Fold09.Rep1",0.699492026748971,"Marker","Teo2019"
"Teo2019.226","CDKN2A","Fold09.Rep1",0.706415037722908,"Marker","Teo2019"
"Teo2019.227","LMNB1","Fold09.Rep1",0.360125171467764,"Marker","Teo2019"
"Teo2019.228","IL1A","Fold09.Rep1",0.567086762688615,"Marker","Teo2019"
"Teo2019.229","RB1","Fold09.Rep1",0.484567901234568,"Marker","Teo2019"
"Teo2019.230","CDK1","Fold09.Rep1",0.364519032921811,"Marker","Teo2019"
"Teo2019.231","CDK4","Fold09.Rep1",0.555748456790123,"Marker","Teo2019"
"Teo2019.232","CDK6","Fold09.Rep1",0.621356310013717,"Marker","Teo2019"
"Teo2019.233","MKI67","Fold09.Rep1",0.687660751028807,"Marker","Teo2019"
"Teo2019.234","CDKN2B","Fold09.Rep1",0.773951903292181,"Marker","Teo2019"
"Teo2019.235","hUSI","Fold10.Rep1",0.819401577503429,"hUSI","Teo2019"
"Teo2019.236","DAS","Fold10.Rep1",0.7622170781893,"Senecence Score","Teo2019"
"Teo2019.237","mSS","Fold10.Rep1",0.685270919067215,"Senecence Score","Teo2019"
"Teo2019.238","DAS+mSS","Fold10.Rep1",0.7835219478738,"Senecence Score","Teo2019"
"Teo2019.239","lassoCS","Fold10.Rep1",0.492476851851852,"Senecence Score","Teo2019"
"Teo2019.240","CSS","Fold10.Rep1",0.529363854595336,"Senecence Score","Teo2019"
"Teo2019.241","SenMayo","Fold10.Rep1",0.858474794238683,"Gene set","Teo2019"
"Teo2019.242","CellAge","Fold10.Rep1",0.570816186556927,"Gene set","Teo2019"
"Teo2019.243","GenAge","Fold10.Rep1",0.628600823045268,"Gene set","Teo2019"
"Teo2019.244","ASIG","Fold10.Rep1",0.72337962962963,"Gene set","Teo2019"
"Teo2019.245","SASP","Fold10.Rep1",0.715663580246914,"Gene set","Teo2019"
"Teo2019.246","AgingAtlas","Fold10.Rep1",0.750707304526749,"Gene set","Teo2019"
"Teo2019.247","SenUp","Fold10.Rep1",0.748928326474623,"Gene set","Teo2019"
"Teo2019.248","SigRS","Fold10.Rep1",0.79190243484225,"Gene set","Teo2019"
"Teo2019.249","GLB1","Fold10.Rep1",0.548943329903978,"Marker","Teo2019"
"Teo2019.250","TP53","Fold10.Rep1",0.510716735253772,"Marker","Teo2019"
"Teo2019.251","CDKN1A","Fold10.Rep1",0.692258230452675,"Marker","Teo2019"
"Teo2019.252","CDKN2A","Fold10.Rep1",0.696641375171468,"Marker","Teo2019"
"Teo2019.253","LMNB1","Fold10.Rep1",0.372320816186557,"Marker","Teo2019"
"Teo2019.254","IL1A","Fold10.Rep1",0.557827503429355,"Marker","Teo2019"
"Teo2019.255","RB1","Fold10.Rep1",0.467678326474623,"Marker","Teo2019"
"Teo2019.256","CDK1","Fold10.Rep1",0.376971879286694,"Marker","Teo2019"
"Teo2019.257","CDK4","Fold10.Rep1",0.583054698216735,"Marker","Teo2019"
"Teo2019.258","CDK6","Fold10.Rep1",0.62491426611797,"Marker","Teo2019"
"Teo2019.259","MKI67","Fold10.Rep1",0.682795353223594,"Marker","Teo2019"
"Teo2019.260","CDKN2B","Fold10.Rep1",0.766032235939643,"Marker","Teo2019"
"Teo2019.261","hUSI","Fold01.Rep2",0.832475994513032,"hUSI","Teo2019"
"Teo2019.262","DAS","Fold01.Rep2",0.766375171467764,"Senecence Score","Teo2019"
"Teo2019.263","mSS","Fold01.Rep2",0.676236711248285,"Senecence Score","Teo2019"
"Teo2019.264","DAS+mSS","Fold01.Rep2",0.778109996570645,"Senecence Score","Teo2019"
"Teo2019.265","lassoCS","Fold01.Rep2",0.491319444444444,"Senecence Score","Teo2019"
"Teo2019.266","CSS","Fold01.Rep2",0.533639831961591,"Senecence Score","Teo2019"
"Teo2019.267","SenMayo","Fold01.Rep2",0.864733367626886,"Gene set","Teo2019"
"Teo2019.268","CellAge","Fold01.Rep2",0.558299039780521,"Gene set","Teo2019"
"Teo2019.269","GenAge","Fold01.Rep2",0.616769547325103,"Gene set","Teo2019"
"Teo2019.270","ASIG","Fold01.Rep2",0.710605281207133,"Gene set","Teo2019"
"Teo2019.271","SASP","Fold01.Rep2",0.709019204389575,"Gene set","Teo2019"
"Teo2019.272","AgingAtlas","Fold01.Rep2",0.742712620027435,"Gene set","Teo2019"
"Teo2019.273","SenUp","Fold01.Rep2",0.755165466392318,"Gene set","Teo2019"
"Teo2019.274","SigRS","Fold01.Rep2",0.784979423868313,"Gene set","Teo2019"
"Teo2019.275","GLB1","Fold01.Rep2",0.540091306584362,"Marker","Teo2019"
"Teo2019.276","TP53","Fold01.Rep2",0.515014146090535,"Marker","Teo2019"
"Teo2019.277","CDKN1A","Fold01.Rep2",0.702042609739369,"Marker","Teo2019"
"Teo2019.278","CDKN2A","Fold01.Rep2",0.703125,"Marker","Teo2019"
"Teo2019.279","LMNB1","Fold01.Rep2",0.360382373113855,"Marker","Teo2019"
"Teo2019.280","IL1A","Fold01.Rep2",0.562457133058985,"Marker","Teo2019"
"Teo2019.281","RB1","Fold01.Rep2",0.454861111111111,"Marker","Teo2019"
"Teo2019.282","CDK1","Fold01.Rep2",0.349997856652949,"Marker","Teo2019"
"Teo2019.283","CDK4","Fold01.Rep2",0.556948731138546,"Marker","Teo2019"
"Teo2019.284","CDK6","Fold01.Rep2",0.628858024691358,"Marker","Teo2019"
"Teo2019.285","MKI67","Fold01.Rep2",0.704121656378601,"Marker","Teo2019"
"Teo2019.286","CDKN2B","Fold01.Rep2",0.772312242798354,"Marker","Teo2019"
"Teo2019.287","hUSI","Fold02.Rep2",0.829539609053498,"hUSI","Teo2019"
"Teo2019.288","DAS","Fold02.Rep2",0.756494341563786,"Senecence Score","Teo2019"
"Teo2019.289","mSS","Fold02.Rep2",0.69954561042524,"Senecence Score","Teo2019"
"Teo2019.290","DAS+mSS","Fold02.Rep2",0.782600308641975,"Senecence Score","Teo2019"
"Teo2019.291","lassoCS","Fold02.Rep2",0.507394547325103,"Senecence Score","Teo2019"
"Teo2019.292","CSS","Fold02.Rep2",0.520211762688615,"Senecence Score","Teo2019"
"Teo2019.293","SenMayo","Fold02.Rep2",0.869877400548697,"Gene set","Teo2019"
"Teo2019.294","CellAge","Fold02.Rep2",0.565179183813443,"Gene set","Teo2019"
"Teo2019.295","GenAge","Fold02.Rep2",0.643797153635117,"Gene set","Teo2019"
"Teo2019.296","ASIG","Fold02.Rep2",0.72468707133059,"Gene set","Teo2019"
"Teo2019.297","SASP","Fold02.Rep2",0.722222222222222,"Gene set","Teo2019"
"Teo2019.298","AgingAtlas","Fold02.Rep2",0.761724108367627,"Gene set","Teo2019"
"Teo2019.299","SenUp","Fold02.Rep2",0.761552640603567,"Gene set","Teo2019"
"Teo2019.300","SigRS","Fold02.Rep2",0.797732338820302,"Gene set","Teo2019"
"Teo2019.301","GLB1","Fold02.Rep2",0.539759087791495,"Marker","Teo2019"
"Teo2019.302","TP53","Fold02.Rep2",0.523876886145405,"Marker","Teo2019"
"Teo2019.303","CDKN1A","Fold02.Rep2",0.716070816186557,"Marker","Teo2019"
"Teo2019.304","CDKN2A","Fold02.Rep2",0.69994212962963,"Marker","Teo2019"
"Teo2019.305","LMNB1","Fold02.Rep2",0.375128600823045,"Marker","Teo2019"
"Teo2019.306","IL1A","Fold02.Rep2",0.5647719478738,"Marker","Teo2019"
"Teo2019.307","RB1","Fold02.Rep2",0.479509602194787,"Marker","Teo2019"
"Teo2019.308","CDK1","Fold02.Rep2",0.371045524691358,"Marker","Teo2019"
